Nome,Endereço,Número,Bairro,Telefone,latitude,longitude
Museu de Arte do Rio,Praça Mauá,5,Centro,3031-2741,"-22.896174","-43.181736"
Museu Aeroespacial,Avenida Marechal Fontenele,2000,Campo dos Afonsos,2108-8954,"-22.885071","-43.388112"
Museu Carmem Miranda,Avenida Rui Barbosa,,Flamengo,2299-5586,"-22.941391","-43.172410"
Museu da Chácara do Céu,Rua Murtinho Nobre,93,Santa Teresa,3970-1126,"-22.917345","-43.184135"
Museu da República,Rua do Catete,160,Catete,2558-6350,"-22.925868","-43.176447"
Museu de Arte Moderna,Avenida Infante Dom Henrique,85,Flamengo,2240-4899,"-22.913817","-43.173207"
Museu de Arte Popular da Casa do Pontal,Estrada do Pontal,3295,Recreio dos Bandeirantes,2490-3278,"-23.024675","-43.509948"
Museu de Folclore Edison Carneiro,Rua do Catete,181,Catete,2285-0441,"-22.926054","-43.176409"
Museu do Açude,Estrada do Açude,764,Alto da Boa Vista,2492-2119,"-22.963619","-43.282738"
Museu do Clube Naval,Avenida almirante Barroso,63,Centro,2112-2400,"-22.908181","-43.176617"
Museu do Índio,Rua das Palmeiras,55,Botafogo,3214-8702,"-22.952010","-43.191312"
Museu Histórico Nacional,Praça Marechal Âncora,,Centro,2550-9220,"-22.905556","-43.169444"
Museu Nacional de Belas Artes,Avenida Rio Branco,199,Centro,2219-8474,"-22.908900","-43.176096"
Oi Futuro,Rua Dois de Dezembro,63,Flamengo,3131-3060,"-22.930000","-43.176389"
Paço Imperial,Praça XV,,Centro,2533-4359,"-22.903544","-43.174265"
Palácio Tiradentes,Rua Primeiro de Março,,Centro,2588-1251,"-22.904107","-43.174227"
Fundação Casa de Rui Barbosa,Rua São Clemente,134,Botafogo,3289-4600,"-22.949440","-43.186908"

