Código,Nome,Endereço,Número,Bairro,Telefone,latitude,longitude
1,Academia Brasileira de Letras,Avenida Presidente Wilson,203,Centro,3974-2500,"-22.910877","-43.172971"
1,Arcos da Lapa,Praça Cardeal Câmara,,Lapa,,"-22.912867","-43.179908"
1,Aterro do Flamengo,Avenida Infante Dom Henrique,,Flamengo,2285-7029,"-22.928990","-43.171813"
1,Biblioteca Nacional,Avenida Rio Branco,219,Centro,3095-3879,"-22.909770","-43.175689"
1,Bosque da Barra,Avenida das Américas,KM6.5,Barra da Tijuca,2503-2779,"-22.999839","-43.371817"
1,Campo de Santana,Avenida Presidente Vargas,,Centro,,"-22.906667","-43.188333"
1,Capela Magdelena Roberto de Regina,Estrada do Mato Alto,6024,Guaratiba,2410-7183,"-22.977599","-43.589773"
1,Casa França Brasil,Rua Visconde de Itaboraí,78,Centro,2332-5120,"-22.900394","-43.175986"
1,Casa Laura Alvin,Avenida Vieira Souto,176,Ipanema,2522-3180,"-22.986681","-43.199243"
1,Casa Laura Alvin,Avenida Vieira Souto,176,Ipanema,2522-3180,"-22.986681","-43.199243"
1,Catedral Metropolitana,Avenida República do Chile,245,Centro,2240-2669,"-22.910887","-43.180728"
1,Centro Cultural Anglo Americano (Suassuna),Avenida das Américas,2603,Barra da Tijuca,2439-8002,"-23.000965","-43.334382"
1,Centro Cultural Banco do Brasil,Rua Primeiro de Março,66,Centro,3808-2020,"-22.900606","-43.176517"
1,Centro Cultural Candido Mendes,Rua Joana Angélica,63,Ipanema,2267-7295,"-22.984857","-43.205058"
1,Centro Cultural dos Correios,Rua Visconde de Itaboraí,20,Centro,2253-1580,"-22.901291","-43.175839"
1,Centro Luiz Gonzaga de Tradições Nordestinas,Pavilhão de São Cristóvão,,São Cristóvão,2580-5335,"-22.896809","-43.219341"
1,Cidade das Artes,Avenida das Américas,,Barra da Tijuca,3325-0102,"-22.998611","-43.365556"
1,Cidade do Samba,Rua Rivadávia Correia,60,Gamboa,2213-2503,"-22.894338","-43.197015"
1,Confeitaria Colombo,Rua Gonçalves Dias,32,Centro,2505-1500,"-22.905249","-43.178803"
1,Cristo Redentor (Corcovado),Rua Cosme Velho,513,Cosme Velho,2558-1329,"-22.940436","-43.198484"
1,Espaço Cultura Sergio Porto,Rua Humaitá,163,Humaitá,2535-3846,"-22.958328","-43.199558"
1,Espaço Cultural da Marinha,Avenida Alfred Agache,,Centro,2104-6721,"-22.901083","-43.174447"
1,Estádio do Maracanã,Rua Professor Eurico Rabelo,,Maracanã,8871-3950,"-22.913604","-43.231068"
1,Fortaleza de São João,Avenida João Luís Alves,,Urca,2543-3323,"-22.940278","-43.151389"
1,Forte de Copacabana,Praça Coronel Eugênio Franco,1,Copacabana,2521-1032,"-22.985822","-43.187846"
1,Fundação Casa de Rui Barbosa,Rua São Clemente,134,Botafogo,3289-4600,"-22.949440","-43.186908"
1,Fundação Eva Klabin Rapaport,Avenida Epitácio Pessoa,2480,Lagoa,3202-8550,"-22.975969","-43.198141"
1,Hangar do Zeppelin,Estrada do Zepelim,,Santa Cruz,3078-0389,"-22.925532","-43.711149"
1,Igreja de São Francisco da Penitência,Largo da Carioca,5,Centro,,"-22.906907","-43.179261"
1,Igreja e Convento de Santa Teresa,Ladeira de Santa Teresa,52,Santa Teresa,2509-2183,"-22.915657","-43.180307"
1,Igreja Nossa Senhora da Candelária,Praça Pio X,,Centro,2233-2324,"-22.900735","-43.177643"
1,Igreja Nossa Senhora da Glória do Outeiro,Ladeira da Glória,,Glória,2225-2869,"-22.921327","-43.175339"
1,Igreja Nossa Senhora da Penha,Largo da Penha,19,Penha,3887-5155,"-22.845459","-43.277835"
1,Igreja Nossa Senhora do Carmo da Antiga Sé,Rua 7 de Setembro,12,Centro,2242-4828,"-22.903240","-43.175264"
1,Ilha de Paquetá,Acesso feito por barca na Praça XV,,,0800-7211012,"-22.759444","-43.108056"
1,Ilha Fiscal,Avenida Alfred Agache,,Centro,2233-9165,"-22.896944","-43.166111"
1,Jardim Botânico,Rua Jardim Botânico,1008,Jardim Botânico,3874-1808,"-22.970885","-43.223279"
1,Jardim Zoológico (Riozoo),Quinta da Boa Vista,,São Cristóvão,3878-4200,"-22.904393","-43.228820"
1,Jockey Club Brasileiro,Praça Santos Dumont,,Gávea,3534-9000,"-22.973863","-43.225714"
1,Lagoa Rodrigo de Freitas,Avenida Epitácio Pessoa,,Lagoa,,"-22.971314","-43.211725"
1,Memorial dos Pretos Novos,Rua Pedro Ernesto,34,Gamboa,2516-7089,"-22.896071","-43.192958"
1,Mirante Dona Marta,Estrada Mirante Dona Marta,,Santa Teresa,,"-22.945913","-43.197438"
1,Monumento aos Pracinhas,Aterro do Flamengo,,Flamengo,2240-1283,"-22.916495","-43.174055"
1,Mosteiro de São Bento,Rua Dom Gerardo,68,Centro,2206-8100,"-22.896747","-43.177885"
1,Oi Futuro,Rua Dois de Dezembro,63,Flamengo,3131-3060,"-22.930000","-43.176389"
1,Paço Imperial,Praça XV,,Centro,2533-4359,"-22.903544","-43.174265"
1,Palácio Tiradentes,Rua Primeiro de Março,,Centro,2588-1251,"-22.904107","-43.174227"
1,Pão de Açúcar,Avenida Pasteur,520,Urca,2546-8400,"-22.955588","-43.166875"
1,Parque da Cidade,Estrada Santa Marinha,505,Gávea,2259-9295,"-22.977500","-43.245556"
1,Parque das Ruínas,Rua Murtinho Nobre,169,Santa Teresa,,"-22.917560","-43.182462"
1,Parque Eduardo Guinle,Rua Gago Coutinho,66,Laranjeiras,,"-22.931401","-43.182485"
1,Parque Lage,Rua Jardim Botânico,414,Jardim Botânico,3257-1800,"-22.961288","-43.213113"
1,Parque Municipal Fazenda do Viegas,Rua Marmiári,221,Senador Camará,,"-22.885358","-43.485030"
1,Parque Nacional da Tijuca,Estrada da Cascatinha,850,Alto da Boa Vista,2491-1700,"-22.959831","-43.278288"
1,Parque Peter Pan,Rua Francisco Sá,,Copacabana,,"-22.983185","-43.192067"
1,Pedra da Gávea,Estrada Do Joá,1045,Barra da Tijuca,2491-1700,"-22.997666","-43.283865"
1,Planetário,Rua Vice-governador Rubens Berardo,100,Gávea,2274-0046,"-22.978839","-43.230247"
1,Praça Paris,Avenida Augusto Severo,,Glória,,"-22.917222","-43.175833"
1,Quinta da Boa Vista/Museu Nacional,Quinta da Boa Vista,,São Cristóvão,2562-6900,"-22.905441","-43.224884"
1,Real Gabinete Português de Leitura,Rua Luís de Camões,30,Centro,2221-3138,"-22.905466","-43.182171"
1,Sala Baden Powell,Avenida Nossa Senhora de Copacabana,360,Copacabana,2548-0421,"-22.967121","-43.180619"
1,Sala Cecília Meireles,Rua da Lapa,47,Lapa,2332-9223,"-22.914348","-43.178233"
1,Sambódromo,Rua Marquês de Sapucaí,,Santo Cristo,2546-8080,"-22.911470","-43.196838"
1,Santa Teresa,Santa Teresa,,Santa Teresa,,"-22.931944","-43.198056"
1,Sítio Roberto Burle Marx,Estrada Roberto Burle Marx,2019,Barra de Guaratiba,2410-1412,"-23.021841","-43.546139"
1,Teatro Amador O Tablado,Avenida Lineu de Paula Machado,795,Lagoa,2294-7847,"-22.965087","-43.216575"
1,Teatro Armando Gonzaga,Avenida General Oswaldo Cordeiro de Faria,511,Marechal Hermes,2332-1040,"-22.865847","-43.373184"
1,Teatro Arthur Azevedo,Rua Victor Alves,454,Campo Grande,2332-7516,"-22.898420","-43.563562"
1,Teatro Bibi Ferreira,Rua Visconde de Ouro Preto,78,Botafogo,2539-4591,"-22.946069","-43.185328"
1,Teatro Brigitte Blair,Rua Miguel Lemos,51,Copacabana,2493-0334,"-22.977920","-43.191293"
1,Teatro Café Pequeno,Avenida Ataulfo de Paiva,269,Leblon,2294-4480,"-22.983817","-43.217927"
1,Teatro Carlos Gomes,Rua Pedro Primeiro,4A,Centro,2232-8701,"-22.907223","-43.182519"
1,Teatro Casa da Gávea,Praça Santos Dumont,116,Gávea,2239-3511,"-22.974058","-43.226980"
1,Teatro Casa do Riso,Rua Adalberto Ferreira,32,Leblon,2274-4022,"-22.979878","-43.222715"
1,Teatro CEC Antonio Fagundes,Avenida Ayrton Senna,2541A,Barra da Tijuca,2432-4000,"-22.990025","-43.366205"
1,Teatro Clara Nunes,Rua Marquês de São Vicente,52,Gávea,2274-9696,"-22.975621","-43.228071"
1,Teatro da Praia,Rua Francisco Sá,88,Copacabana,2267-7749,"-22.983633","-43.193341"
1,Teatro das Artes,Rua Marquês de São Vicente,52,Gávea,2540-6004,"-22.975730","-43.228284"
1,Teatro do Instituto Benjamin Constant,Avenida Pasteur,350,Urca,3478-4442,"-22.953049","-43.171969"
1,Teatro do Jockey,Rua Bartolomeu Mitre,1110,Jardim Botânico,2540-9853,"-22.976997","-43.224933"
1,Teatro dos Grandes Atores,Avenida das Américas, 3555,Barra da Tijuca,3325-1645,"-23.000442","-43.349943"
1,Teatro dos Quatro,Rua Marquês de São Vicente,52,Gávea,2239-1095,"-22.975678","-43.228018"
1,Teatro Dulcina,Rua Alcindo Guanabara,17,Centro,2240-4879,"-22.910700","-43.177058"
1,Teatro Glauce Rocha,Avenida Rio Branco,179,Centro,2220-0259,"-22.907265","-43.176726"
1,Teatro Gláucio Gil,Praça Cardeal Arcoverde,,Copacabana,2332-7904,"-22.965395","-43.180805"
1,Teatro Glória,Rua do Russel,632,Glória,2555-7262,"-22.922971","-43.172697"
1,Teatro Ipanema,Rua Prudente de Morais,824,Ipanema,2523-9794,"-22.985310","-43.204790"
1,Teatro João Caetano,Praça Tiradentes,,Centro,2332-9166,"-22.906390","-43.182289"
1,Teatro Leblon,Rua Conde de Bernadotte,26,Leblon,2529-7700,"-22.980851","-43.222653"
1,Teatro Maria Clara Machado,Avenida Padre Leonel Franca,240,Gávea,2274-7722,"-22.978844","-43.230249"
1,Teatro Mário Lago,Campo de São Cristóvão,177,São Cristóvão,3891-1028,"-22.899178","-43.220859"
1,Teatro Miguel Falabella,Avenida Dom Hélder Câmara,5474,Cachambi,2597-4452,"-22.887453","-43.283012"
1,Teatro Municipal,Praça Marechal Floriano,,Centro,2332-9191,"-22.909392","-43.176388"
1,Teatro Noel Rosa,Rua São Francisco Xavier,524,Maracanã,2587-7693,"-22.910731","-43.237617"
1,Teatro Odylo Costa Filho,Rua São Francisco Xavier,524,Maracanã,2334-0728,"-22.910556","-43.235000"
1,Teatro Princesa Isabel,Avenida Princesa Isabel,186,Copacabana,2275-3346,"-22.963013","-43.174309"
